類別,site_name,pattern,url,source,site_id,url_pattern,0422log數,內容大綱,貼標方式,標籤,觀察,domain(for首頁貼標),後續處置方式,Jack_Result
新聞,中時電子報,general,https://styletc.chinatimes.com//people/20181105003502-330302,chinatimes,-1,styletc.chinatimes.com,101382.0,雞排妹「只穿內褲」被拍！雙峰蜜桃臀全都露,UrlTagUpdater 貼標結果,"['地區:日本(IG_001)', '客製:好事多(C_TOYOTA_013)', '居家生活:裝飾(IP_063)', '展覽:商務貿易(IO_011)', '展覽:大眾休閒(IO_012)', '快速消費品:臉部彩妝(IP_086)', '快速消費品:身體清潔保養(IP_085)', '新聞雜誌:華人影視娛樂(IT_025)', '族群:健身族_暫存(IE_009)', '時尚:時尚_暫存(IP_081)', '生涯階段:結婚(IL_009)', '菸酒:菸酒(IP_074)', '賣場品牌:Costco(BMA_004)', '購物:賣場超市(IP_056)', '音樂:韓國音樂(IT_020)']",很多網站目錄也都爬進去,,,83494.0
新聞,中時電子報,general,https://album.chinatimes.com/0101ss/20190101003068-262201,chinatimes,-1,album.chinatimes.com,22.0,新年談話 蔡英文首提兩岸交流「四個必須」,UrlTagUpdater 貼標結果,"['地區:台灣南部(IG_008)', '地區:歐美(IG_003)', '客製:國民黨關注者(C_nutn_003)', '展覽:商務貿易(IO_011)', '政治:政治(IT_033)', '新聞雜誌:國際新聞(IT_051)', '新聞雜誌:地方新聞(IT_058)', '時尚:時尚_暫存(IP_081)', '行動支付品牌:Apple Pay(寬鬆)_測試(BMP_001_1)']",,,,22.0
新聞,中時電子報,general,https://ivoting.chinatimes.com/20150607001147-261002,chinatimes,-1,voting.chinatimes.com,36717.0,網路大調查 死刑存廢十大理由,UrlTagUpdater 貼標結果,"['地區:台灣南部(IG_008)', '地區:歐美(IG_003)', '地區:韓國(IG_002)', '客製:國民黨關注者(C_nutn_003)', '政治:政治(IT_033)', '新聞雜誌:地方新聞(IT_058)', '法律服務:法律服務(IP_033)', '生涯階段:孩童(IL_012)', '行動支付品牌:Apple Pay(寬鬆)_測試(BMP_001_1)', '資訊科技:資訊科技(IT_002)']",,,,36559.0
新聞,中時電子報,跳轉頁面/空白頁,http://10.227.153.150/preview/20190422003386-330101,chinatimes,-1,10.227.153.150/preview,65.0,,,,,,,31.0
新聞,中時電子報,跳轉頁面/空白頁,http://127.0.0.1:8580/do/QaaZ9/otoLeQRYv_AXN3LejX/?chdtv,chinatimes,-1,127.0.0.1:8580/do,14.0,,,,,,,14.0
新聞,中時電子報,general,http://76c.6158.ws/people/20190304003934-330302,chinatimes,-1,76c.6158.ws/people,,,首頁貼標,"['交通:鐵公路(IP_078)', '地區:台灣中部(IG_007)', '地區:台灣北部(IG_010)', '地區:台灣南部(IG_008)', '地區:台灣東部(IG_009)', '地區:日本(IG_001)', '地區:東南亞(IG_004)', '地區:韓國(IG_002)', '客製:iPhone(C_PPV_005)', '客製:全聯(C_TOYOTA_012)', '客製:國民黨關注者(C_nutn_003)', '客製:外匯新聞(C_ESUN_003)', '客製:新加坡機票(C_DBS_005)', '展覽:商務貿易(IO_011)', '投資理財:房地產(IP_093)', '攝影:攝影(IP_080)', '政治:政治(IT_033)', '新聞雜誌:商業與經濟新聞(IT_021)', '新聞雜誌:國際新聞(IT_051)', '新聞雜誌:地方新聞(IT_058)', '新聞雜誌:華人影視娛樂(IT_025)', '旅遊:國內旅遊_暫存(IT_035)', '時尚:時尚_暫存(IP_081)', '法律服務:法律服務(IP_033)', '生涯階段:孩童(IL_012)', '生涯階段:工作階段(青壯年)(IL_002)', '生涯階段:求學階段(青少年)(IL_011)', '科技品牌:Apple(BT_001)', '菸酒:菸酒(IP_074)', '行動支付品牌:Apple Pay(寬鬆)_測試(BMP_001_1)', '行動裝置:行動裝置(IP_082)', '資訊科技:ios偏好(IT_059)', '賣場品牌:全聯(BMA_002)', '賣場品牌:頂好(BMA_003)', '購物:賣場超市(IP_056)', '音樂:日本音樂(IT_019)']",,,,1.0
新聞,中時電子報,跳轉頁面/空白頁,http://99go.chinatimes.com/,chinatimes,-1,99go.chinatimes.com/,,,首頁貼標,"['交通:鐵公路(IP_078)', '地區:台灣中部(IG_007)', '地區:台灣北部(IG_010)', '地區:台灣南部(IG_008)', '地區:台灣東部(IG_009)', '地區:日本(IG_001)', '地區:東南亞(IG_004)', '地區:韓國(IG_002)', '客製:iPhone(C_PPV_005)', '客製:全聯(C_TOYOTA_012)', '客製:國民黨關注者(C_nutn_003)', '客製:外匯新聞(C_ESUN_003)', '客製:新加坡機票(C_DBS_005)', '展覽:商務貿易(IO_011)', '投資理財:房地產(IP_093)', '攝影:攝影(IP_080)', '政治:政治(IT_033)', '新聞雜誌:商業與經濟新聞(IT_021)', '新聞雜誌:國際新聞(IT_051)', '新聞雜誌:地方新聞(IT_058)', '新聞雜誌:華人影視娛樂(IT_025)', '旅遊:國內旅遊_暫存(IT_035)', '時尚:時尚_暫存(IP_081)', '法律服務:法律服務(IP_033)', '生涯階段:孩童(IL_012)', '生涯階段:工作階段(青壯年)(IL_002)', '生涯階段:求學階段(青少年)(IL_011)', '科技品牌:Apple(BT_001)', '菸酒:菸酒(IP_074)', '行動支付品牌:Apple Pay(寬鬆)_測試(BMP_001_1)', '行動裝置:行動裝置(IP_082)', '資訊科技:ios偏好(IT_059)', '賣場品牌:全聯(BMA_002)', '賣場品牌:頂好(BMA_003)', '購物:賣場超市(IP_056)', '音樂:日本音樂(IT_019)']",,,,1.0
新聞,中時電子報,general,http://ad.chinatimes.com/,chinatimes,-1,,,,UrlTagUpdater 貼標結果,"['交通:鐵公路(IP_078)', '地區:台灣中部(IG_007)', '地區:台灣北部(IG_010)', '地區:台灣南部(IG_008)', '地區:台灣東部(IG_009)', '地區:台灣離島(IG_027)', '地區:日本(IG_001)', '地區:東南亞(IG_004)', '地區:韓國(IG_002)', '客製:iPhone(C_PPV_005)', '客製:信義房屋(C_TSBank_001)', '客製:吊飾(C_91APP_010)', '客製:國民黨關注者(C_nutn_003)', '客製:外匯新聞(C_ESUN_003)', '客製:新加坡機票(C_DBS_005)', '客製:民進黨關注者(C_nutn_002)', '展覽:商務貿易(IO_011)', '展覽:大眾休閒(IO_012)', '快速消費品:3C(IP_060)', '投資理財:房地產(IP_093)', '攝影:攝影(IP_080)', '政治:政治(IT_033)', '新聞雜誌:商業與經濟新聞(IT_021)', '新聞雜誌:國際新聞(IT_051)', '新聞雜誌:地方新聞(IT_058)', '新聞雜誌:華人影視娛樂(IT_025)', '旅遊:國內旅遊_暫存(IT_035)', '旅遊:國外旅遊(IT_001)', '時尚:時尚_暫存(IP_081)', '法律服務:法律服務(IP_033)', '生涯階段:孩童(IL_012)', '生涯階段:工作階段(青壯年)(IL_002)', '生涯階段:求學階段(青少年)(IL_011)', '科技品牌:Apple(BT_001)', '菸酒:菸酒(IP_074)', '行動支付品牌:Apple Pay(寬鬆)_測試(BMP_001_1)', '行動裝置:行動裝置(IP_082)', '資訊科技:ios偏好(IT_059)', '音樂:日本音樂(IT_019)', '音樂:韓國音樂(IT_020)']",,,,3763994.0
新聞,中時電子報,general,http://ad.chinatimes.com/newspapers/20180315000555-260119,chinatimes,-1,ad.chinatimes.com/newspapers/,,,即時爬文貼標,"['地區:台灣南部(IG_008)', '地區:歐美(IG_003)', '地區:韓國(IG_002)', '客製:民進黨關注者(C_nutn_002)', '政治:政治(IT_033)', '新聞雜誌:地方新聞(IT_058)', '行動支付品牌:Apple Pay(寬鬆)_測試(BMP_001_1)', '資訊科技:資訊科技(IT_002)']",,,,242.0
新聞,中時電子報,跳轉頁面/空白頁,http://blog3.chinatimes.com:8080/?needcache=y,chinatimes,-1,blog3.chinatimes.com:8080,,,首頁貼標,"['交通:鐵公路(IP_078)', '地區:台灣中部(IG_007)', '地區:台灣北部(IG_010)', '地區:台灣南部(IG_008)', '地區:台灣東部(IG_009)', '地區:日本(IG_001)', '地區:東南亞(IG_004)', '地區:韓國(IG_002)', '客製:iPhone(C_PPV_005)', '客製:全聯(C_TOYOTA_012)', '客製:國民黨關注者(C_nutn_003)', '客製:外匯新聞(C_ESUN_003)', '客製:新加坡機票(C_DBS_005)', '展覽:商務貿易(IO_011)', '投資理財:房地產(IP_093)', '攝影:攝影(IP_080)', '政治:政治(IT_033)', '新聞雜誌:商業與經濟新聞(IT_021)', '新聞雜誌:國際新聞(IT_051)', '新聞雜誌:地方新聞(IT_058)', '新聞雜誌:華人影視娛樂(IT_025)', '旅遊:國內旅遊_暫存(IT_035)', '時尚:時尚_暫存(IP_081)', '法律服務:法律服務(IP_033)', '生涯階段:孩童(IL_012)', '生涯階段:工作階段(青壯年)(IL_002)', '生涯階段:求學階段(青少年)(IL_011)', '科技品牌:Apple(BT_001)', '菸酒:菸酒(IP_074)', '行動支付品牌:Apple Pay(寬鬆)_測試(BMP_001_1)', '行動裝置:行動裝置(IP_082)', '資訊科技:ios偏好(IT_059)', '賣場品牌:全聯(BMA_002)', '賣場品牌:頂好(BMA_003)', '購物:賣場超市(IP_056)', '音樂:日本音樂(IT_019)']",,,,1.0
